from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x56bc5ded03b0, fd=3, path=/home/shivrajj/.ros/log/showimage_708154_1769608197704.log
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
from fwrite: FILE*=0x790b97c1b6a0, fd=2, path=/dev/pts/3
