from fclose: FILE*=0x63b36167d2e0, fd=3, path=/home/shivrajj/.ros/log/ros2_control_node_2837720_1757012587595.log
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ackermann_steering_controller/ackermann_steering_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ackermann_steering_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/admittance_controller/admittance_controller.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/admittance_controller/package.xml
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/ackermann_steering_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/admittance_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/bicycle_steering_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/canopen_ros2_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/clearpath_mecanum_drive_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/controller_manager
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/diff_drive_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/effort_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/force_torque_sensor_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/forward_command_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/fri_configuration_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/fri_state_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/gpio_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/gripper_controllers
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/imu_sensor_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_group_impedance_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_state_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/joint_trajectory_controller
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/kuka_control_mode_handler
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/kuka_event_broadcaster
from fclose: FILE*=0x63b361930330, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/controller_interface__pluginlib__plugin/mecanum_drive_controller
