from fclose: FILE*=0x5b8f79668ac0, fd=3, path=/home/shivrajj/.ros/log/smoother_server_2604213_1756999222158.log
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/dwb_core
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_behaviors
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_constrained_smoother
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_graceful_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_mppi_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_navfn_planner
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_regulated_pure_pursuit_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_rotation_shim_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_smac_planner
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_smoother
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/nav2_theta_star_planner
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/nav2_core__pluginlib__plugin/vector_pursuit_controller
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/ament_index/resource_index/packages/nav2_core
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/dwb_core/local_planner_plugin.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/dwb_core/package.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_behaviors/behavior_plugin.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_behaviors/package.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_constrained_smoother/nav2_constrained_smoother.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_constrained_smoother/package.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_controller/package.xml
from fclose: FILE*=0x5b8f799c1eb0, fd=16, path=/opt/ros/humble/share/nav2_controller/plugins.xml
